Kennbuchstabe,Klassendefinition,Klassenname,Beispiele
HWB,Mischobjekt zur Erzeugung einer feuchten gasförmigen Substanz,Befeuchter,
HX,"Stoffbearbeitungsobjekt, mit dem durch chemische oder biologische Reaktion neues Material erzeugt wird",Reaktionsobjekt,
HXA,Reaktionsobjekt zum Erzeugen und Kontrollieren einer chemischen Reaktion,Chemiereaktor,Vergaser
HXB,Reaktionsobjekt zum Erzeugen und Kontrollieren einer biologischen Reaktion,Fermentierer,
K,Objekt zur Verarbeitung von Eingangssignalen und Bereitstellung eines geeigneten Ausgangs,Informationsverarbeitungsobjekt,
KE,Informationsverarbeitendes Objekt zur Verarbeitung elektrischer Signale,Elektrische Signale verarbeitendes Objekt,
KEA,Elektrisches Signalverarbeitungsobjekt zur Bedienung durch Menschen,Computer,"PC, Personal-Computer, Tablet-Computer"
KEC,Elektrisches Signalverarbeitungsobjekt zur Eingabe/Ausgabe in Geräten ohne Bedienung durch Menschen,Kommunikationsgerät,"Ethernet-Karte, FireWire-Karte, I/O-Gerät, I/O-Modul, USB-Karte"
KEB,Elektrisches Signalverarbeitungsobjekt zur Steuerung von Geräten ohne Bedienung durch Menschen,Steuerungseinheit,"Zentrale Verarbeitungseinheit (CPU), Distanzschutz- und –steuer-einheit, speicherprogrammierbare Steuerung (SPS), Fernbedienungsmodul (RTU), Synchronisierungsgerät, Synchronisierungsrelais"
KEC,Elektrisches Signalverarbeitungsobjekt zur Eingabe/Ausgabe in Geräten ohne Bedienung durch Menschen,Kommunikationsgerät,"Ethernet-Karte, FireWire-Karte, I/O-Gerät, I/O-Modul, USB-Karte"
KED,Elektrisches Signalverarbeitungsobjekt zur Weiterleitung von Signalen zwischen Datennetzen ohne Bedienung durch Menschen,Router,"Datennetz-Gateway, Firewall, Sicherheitsgerät"
KEE,"Elektrisches Signalverarbeitungsobjekt zum Speichern der Informationen, die durch die Eingabe eines Speichergeräts bereitgestellt wurden, ohne Bedienung durch Menschen",Kartenschreibgerät,"CD-Brenner, Schreibgerät für optische Platten, Tonbandgerät"
KF,Informationsverarbeitendes Objekt zur Weiterleitung elektrischer Signale,Elektrische Signale weiterleitendes Objekt,
KFA,Elektrische Signale weiterleitendes Objekt zur verzögerungsfreien Weiterleitung,Relais,Koppler
KFB,Elektrische Signale weiterleitendes Objekt zur verzögerten Weiterleitung,Zeitrelais,
KFC,Elektrische Signale weiterleitendes Objekt zur Umwandlung des Eingangssignals in ein verstärktes Ausgangssignal,Repeater,
KFD,Elektrische Signale weiterleitendes Objekt zur Überbrückung mehrerer Datennetzwerksegmente,Elektrische Netzwerkbrücke,
KFE,Elektrische Signale weiterleitendes Objekt zum Weiterleiten der Eingabe an bestimmte Geräte innerhalb eines Datennetzwerks,Elektrischer Netzwerkschalter,
KG,Informationsverarbeitendes Objekt für optische Signale,Optisches Signalobjekt,
KGA,Optisches Signalobjekt zum Weiterleiten der Eingabe an bestimmte Geräte innerhalb eines optischen Netzwerks,Optischer Netzwerkschalter,
KGB,Optisches Signalobjekt zum Weiterleiten von Datenpaketen zwischen Computernetzwerken,Optischer Router,
KGC,Optisches Signalobjekt zur Umwandlung des Eingangssignals in ein verstärktes Ausgangssignal,Optischer Repeater,
KH,Informationsverarbeitendes Objekt für fluidische Signale,Fluidisches Signalobjekt,
KHA,Flüssigkeitssignalobjekt zur Rückkopplungskontrolle,Flüssigkeitsregler,
KHB,Flüssigkeitssignalobjekt zur Weiterleitung von Signalen,Steuerventil,
KJ,Informationsverarbeitendes Objekt für mechanische Signale,Mechanisches Signalobjekt,
KJA,Mechanisches Signalobjekt zur Anpassung eines Luft- oder Flüssigkeitsflusses,Mechanischer Regler,
KJB,Mechanisches Signalobjekt zum Sperren/Entsperren eines Verriegelungsmechanismus,Schließzylinder,
KJC,Mechanisches Signalobjekt zur Erzeugung eines binären Zustands eines mechanischen Geräts,Schlüsselcode-Gerät,
KZ,Informationsverarbeitendes Objekt für mehrere Signale,Mehrfach-Signalobjekt,
KZA,Mehrfach-Signalobjekt zum Weiterleiten des Eingangs in spezifische Geräte,Mehrfachschalter,
M,Objekt zur Erzeugung mechanischer Bewegungen oder Kraft,Antriebsobjekt,
MA,"Antriebsobjekt in Form von Drehmoment, angetrieben durch elektromagnetische Kraft",Elektromagnetisches Rotationsantriebsobjekt,
MAA,Elektromagnetisches Rotationsantriebsobjekt zur Erzeugung einer kontinuierlichen Rotation,Elektromotor,"Wechselstrommotor, Asynchron-Motor, Gleichstrommotor, Induktionsmotor, PM-Motor, Servomotor, Synchronmotor"
MAB,Elektromagnetisches Rotationsantriebsobjekt zur Erzeugung diskreter Rotationsschritte,Schrittmotor,
MB,"Antriebsobjekt in Form von linearer Kraft, angetrieben durch elektromagnetische Kraft",Elektromagnetisches Linearantriebsobjekt,
MBA,Elektromagnetisches Linearantriebsobjekt zur Erzeugung einer kontinuierlichen Bewegung,Linearmotor,
MBB,Elektromagnetisches Linearantriebsobjekt zur Erzeugung diskreter Schritte,Elektromagnet,"Stellantrieb, Magnetventil"
MC,"Antriebsobjekt, angetrieben durch magnetische Kraft",Magnetkraft-Antriebsobjekt,
MCA,Magnetkraft-Antriebsobjekt mit Permanentmagnet,Permanentmagnet,
MD,"Antriebsobjekt, angetrieben durch piezoelektrische Kraft",Piezoelektrisches Antriebsobjekt,
MDA,Piezoelektrisches Antriebsobjekt mit piezoelektrischem Kristall,Piezoelektrischer Motor,piezoelektrischer Aktor
ML,"Antriebsobjekt, angetrieben durch mechanische Energie",Durch mechanische Energie angetriebenes Objekt,
MLA,Durch mechanische Energie angetriebenes Objekt zur Freisetzung von Gravitationsenergie,Gravitationsenergieantrieb,Achterbahn
MLB,Durch mechanische Energie angetriebenes Objekt zur Freisetzung von elastischer Energie,Elastischer Energieantrieb,federbetriebenes Gerät
MLC,Durch mechanische Energie angetriebenes Objekt in Form von kinetischer Energie in Luftgebläsen,Windturbine,
MLD,Durch mechanische Energie angetriebenes Objekt in Form von kinetischer Energie in fließendem Wasser,Wasserturbine,
MLE,Durch mechanische Energie angetriebenes Objekt in Form von kinetischer Energie und Reaktionskraft in strömenden und/oder sich ausdehnenden Gasen,Gasturbine,
MM,"Antriebsobjekt, angetrieben durch Flüssigkeitsverdrängung oder Druck",Flüssigkeitsbetriebenes Objekt,
MMA,"Flüssigkeitsbetriebenes Objekt, dessen Bewegung einem flüssigen Volumen entspricht",Hydraulikzylinder,
MMB,Flüssigkeitsbetriebenes Objekt: Bewegung zu Endpositionen abhängig vom Gasdruck,Pneumatikzylinder,
MMC,Flüssigkeitsbetriebenes Objekt: Rotation durch eine fließende Flüssigkeit,Hydraulikmotor,
MMD,Flüssigkeitsbetriebenes Objekt zur Erzeugung von Rotation durch komprimiertes Gas,Pneumatikmotor,
MS,"Antriebsobjekt, angetrieben durch Verbrennung von Brennstoffen",Verbrennungsmotor,
MSA,"Verbrennungsmotor mit Zylindern und Kolben, die durch Funkenzündung angetrieben werden",Ottomotor,
MSB,"Verbrennungsmotor mit Zylindern und Kolben, die durch Verdichtung angetrieben werden",Dieselmotor,
MSC,"Verbrennungsmotor in einem kreisförmigen Gehäuse mit exzentrischem Rotationskolben, der durch Funkenzündung angetrieben werden",Wankelmotor,
MT,"Antriebsobjekt, angetrieben durch eine externe Wärmequelle",Wärmemaschine,
MTA,"Wärmemaschine, die ausgedehnten Dampf verwendet, der auf einen Kolben wirkt",Dampfmotor,
MTB,Wärmemaschine mit zwei Kolben innerhalb eines erwärmten und eines gekühlten Zylinders oder Zylinderteils,Stirling-Motor,
N,Objekt zum teilweisen oder vollständigen Abdecken eines anderen Objekts,Abdeckobjekt,
NA,Abdeckungsobjekt durch Füllen einer Öffnung,Füllobjekt,
NAA,"Füllobjekt, das Lichtdurchlass ermöglicht",Scheibe,
NAB,"Füllobjekt, das den Durchlass von Licht und Feststoffen verhindert",Panel,
NAC,"Füllobjekt, das Flüssigkeitsdurchlass ermöglicht",Gitter,
NAD,"Füllobjekt, das Flüssigkeitsdurchlass verhindert",Abdichtungsmittel,"Dichtung, Buchse, Mörtel"
NB,Abdeckungsobjekt durch Schließen einer Öffnung,Schließungsobjekt,
NBA,Schließungsobjekt für eine Tür,Türflügel,
NBB,Schließungsobjekt für eine große Tür,Flügel einer großen Tür,
NBC,Schließungsobjekt in einer Umschließung,Gehäuseklappe,"Kabinentür, Schranktür, Wartungsklappe, Tankdeckel"
NBD,Schließungsobjekt für ein Tor,Torflügel,
NBE,Schließungsobjekt für eine Luke,Lukenabdeckung,"Blende, Gehäusedeckel"
NC,Abdeckungsobjekt durch Abschlussstrukturen,Abschlussobjekt,
NCA,Endabschlussobjekt für einen Bürgersteig,Pflaster,
NCB,Endabschlussobjekt für eine Wand,Wandabdeckung,
NCC,Endabschlussobjekt für einen Boden,Bodenbelag,
NCD,Endabschlussobjekt für eine Decke,Deckenschicht,
NCE,Endabschlussobjekt für ein Dach,Bedachung,
NCF,Endabschlussobjekt für eine Öffnung,Fenstersims,Fensterbrett
NCG,Endabschlussobjekt für eine bewachsene Fläche,Pflanzenmatte,Rasenboden
NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,"Luftfahrzeugverkleidung, Luftfahrzeugbeplankung, Rumpfverkleidung, Kraftfahrzeugkarosserieteile, Cockpitverkleidung, Motorradverkleidung, unbelastete Rumpfplatte"
ND,Abdeckungsobjekt zum Abschließen eines anderen Objekts,Abschließungsobjekt,
NDA,Abschließungsobjekt zur Begrenzung der Bürgersteigkante oder eines bewachsenen Bereichs,Bordsteinkante,"Rasenkante, Pflanzenbeetkante"
NDB,Abschließungsobjekt zur Begrenzung der Kante einer Wand,Krone,"Umbördelung, Wandoberseite"
NDC,Abschließungsobjekt zur Begrenzung der Kante eines Bodens,Zwischenbodenkante,
NDD,Abschließungsobjekt zur Begrenzung der Kante einer Decke,Deckenkante,
NDE,Abschließungsobjekt zur Begrenzung der Kante eines Dachs,Stirnbrett,Ortgang
NE,Abdeckungsobjekt zum Verdecken von Fugen und Übergängen,Verdeckungsobjekt,
NEA,Verdeckungsobjekt zwischen einer Wand und Decke,Deckenverkleidung,
NEB,Verdeckungsobjekt zwischen einer Wand und einem Boden,Fußleiste,Sockelleiste
NEC,Verdeckungsobjekt zwischen zwei Wänden,Wandeckenverkleidung,
NED,Verdeckungsobjekt auf einem Dach,Abdeckblech,"Traufe, Firstabdeckung, Dachabdeckblech"
NEE,Verdeckungsobjekt um eine Öffnung herum,Auskleidung,"Architrav, Muffe"
P,Objekt zur Bereitstellung wahrnehmbarer Informationen,Präsentierobjekt,
PF,Präsentierobjekt in sichtbarer Form diskreter Zustände,Sichtbare Zustandsanzeige,
PFA,Sichtbare Zustandsanzeige unter Verwendung von Licht,Signallampe,Verkehrslichtzeichen
PFB,Sichtbare Zustandsanzeige unter Verwendung mechanischer Positionen,Stellungsanzeiger,
PG,Präsentierobjekt in sichtbarer Form einer einzelnen Skalarvariablen,Skalaranzeige,
PGA,Skalaranzeige zur Anzeige elektrischer Spannung,Spannungsmessinstrument,
PGB,Skalaranzeige zur Anzeige von Widerstand oder Leitfähigkeit,Widerstandsanzeige,
PGC,Skalaranzeige zur Anzeige von Strom,Amperemeter,
PGD,Skalaranzeige zur Anzeige von Dichte,Dichteanzeige,
PGE,Skalaranzeige zur Anzeige eines Felds,Feldanzeige,
PGF,Skalaranzeige zur Anzeige von Durchfluss,Durchflussmesser,
PGG,Skalaranzeige zur Anzeige einer räumlichen Dimension und/oder Position,Dimensionsanzeige,"Winkelanzeige, Positionsanzeige"
PGH,Skalaranzeige zur Anzeige von Energie,Energiezähler,"Blindverbrauchszähler, Wattstundenzähler"
PGJ,Skalaranzeige zur Anzeige elektrischer Energie,Leistungsmessinstrument,Blindleistungsmessgerät
PGK,Skalaranzeige zur Anzeige von Zeit,Uhr,
PGL,Skalaranzeige zur Anzeige von Füllständen,Füllstandsanzeige,Sichtglas
PGM,Skalaranzeige zur Anzeige von Feuchte,Feuchteanzeige,Hygrometer
PGP,Skalaranzeige zur Anzeige von Druck,Druckanzeige,"Barometer, Manometer"
PGQ,Skalaranzeige zur Anzeige von Substanzkonzentration,Konzentrationsanzeige,
PGR,Skalaranzeige zur Anzeige von Strahlung,Elektromagnetwellenanzeige,
PGS,Skalaranzeige zur Anzeige eines Zeitbereichs,Frequenzmessgerät,
PGT,Skalaranzeige zur Anzeige von Temperatur,Temperaturanzeige,
PGV,Skalaranzeige zur Anzeige des Unterschieds zwischen Wirkleistung und Blindleistung,Cos-phi-Meter,
PGW,"Skalaranzeige zur Anzeige von Gewicht, Kraft oder Drehmoment",Kraftanzeige,
PGX,Skalaranzeige zur Anzeige von Schall,Audiospektrometer,
PGZ,Skalaranzeige zur Anzeige der Anzahl an Ereignissen,Mengenmessgerät,
PH,"Präsentierobjekt in sichtbarer Form durch Bilder, Symbole, Text oder physikalische Eigenschaften",Grafische Anzeige,
PHA,Grafische Anzeige mit dynamischer Oberfläche,Display,"Tafel, Whiteboard, Bildschirm"
PHB,Grafische Anzeige mit an einem anderen Ort dargestellter dynamischer Oberfläche,Projektor,
PHC,Grafische Anzeige auf gedruckten Medien,Drucker,
PHD,Grafische Anzeige in statischer Form auf seiner eigenen Oberfläche,Schild,Verkehrszeichen
PHE,Grafische Anzeige in statischer Form auf der Oberfläche eines anderen Objekts,Kennzeichnung,
PHF,Grafische Anzeige in statischer Form aufgrund seiner physikalischen Eigenschaften,Markierungspfosten,Referenzpunkt
PJ,Präsentationsobjekt in hörbarer Form,Akustisches Gerät,
PJA,Akustisches Gerät unter Verwendung der Bewegung einer Membran,Lautsprecher,
PJB,Akustisches Gerät unter Verwendung eines Luftstroms,Hupe,
PJC,Akustisches Gerät unter Verwendung von mechanischer Anregung des Objekts,Klingel,
PK,Präsentationsobjekt in taktiler Form,Taktiles Gerät,
PKA,Taktiles Gerät für diskrete Zustände durch Vibration,Vibrator,
PKB,Taktiles Gerät für statische Informationen,Braille-Zeichen,Straßenrillen
PKC,Taktiles Gerät für überlagernde Hindernisse,Warnung vor lichter Höhe,
PL,Präsentationsobjekt in Ornamentform,Ornamentobjekt,
PLA,Ornamentobjekt als Trennung zwischen zwei Bereichen,Sims,
PLB,Ornamentobjekt als räumliche Darstellung von etwas,Figur,
PLC,Ornamentobjekt als herausragende Gebilde und/oder dekorative Elemente an einer Wand,Fries,"Pilaster, Stuck"
PLD,"Ornamentobjekt zur Darstellung, Illustrierung oder Reproduktion eines sichtbaren Objekts auf einer Oberfläche",Bild,
PLE,"Ornamentobjekt in Form eines Stoffs, mit dem ein Teil eines anderen Objekts abgedeckt wird",Teppich,
PZ,Präsentationsobjekt in mehreren Formen,Mehrfachpräsentierobjekt,
PZA,Mehrfachpräsentierobjekt für diskrete Zustände,Audiovisueller Alarm,
PZB,Mehrfachpräsentierobjekt für mehrere Informatonen,Fernsehgerät,
Q,Objekt zur Steuerung von Zugang oder Durchfluss,Steuerungsobjekt,
QA,Steuerobjekt für elektrischen Strom in einem Schaltkreis,Stromsteuerungsobjekt,
QAA,Stromsteuerungsobjekt in mechanischer Form nur unter normalen Betriebsbedingungen,Schütz,Motoranlasser
QAB,Stromsteuerungsobjekt in mechanischer Form unter normalen und unnormalen Betriebsbedingungen,Schutzschalter,Motoranlasser
QAC,Stromsteuerungsobjekt in elektronischer Form,Elektronischer Leistungsschalter,"Defibrillator, Motoranlasser, Solid-State-Leistungstransistor, Thyristor, Röhrenleistungstransistor"
QB,Steuerobjekt durch Trennen elektrischer Stromkreise,Elektrisches Trennobjekt,
QBA,Elektrisches Trennobjekt nur zur mechanischen Isolation des nachgeschalteten Kreises vom vorgeschalteten Kreis,Sicherungsloser Trennschalter,"Trennschalter, Lasttrennschalter"
QBB,Elektrisches Trennobjekt zur mechanischen Isolation des nachgeschalteten Kreises vom vorgeschalteten Kreis und mit einer integrierten Sicherung,Gesicherter Trennschalter,"Sicherungstrennschalter, Trenn-sicherung"
QC,Steuerobjekt durch Erdung elektrischer Stromkreise,Elektrisches Erdungsobjekt,
QCA,Elektrisches Erdungsobjekt zum Anschluss von elektrischen Kreisen an Masse,Erdungsschalter,
QM,Steuerobjekt zum Aktivieren/Deaktivieren von Flüssigkeiten in verschlossenen Umschließungen,Schaltobjekt für eingeschlossene Flüssigkeiten,
QMA,Schaltobjekt für eingeschlossene Flüssigkeiten in Flüssigkeitsströmen,Flüssigkeitsabsperrventil,"Absperrhahn, Hahn, Stopfen"
QMB,Schaltobjekt für eingeschlossene Flüssigkeiten in Gasströmen,Gasabsperrventil,"Ein-Aus-Klappe, Stopfen"
QN,Steuerobjekt zum Variieren des Flüssigkeitsstroms in verschlossenen Umschließungen,Variierobjekt für eingeschlossene Flüssigkeiten,
QNA,Variierobjekt für eingeschlossene Flüssigkeiten in Flüssigkeitsströmen,Flüssigkeitssteuerventil,
QNB,Variierobjekt für eingeschlossene Flüssigkeiten in Gasströmen,Gassteuerventil,Steuerklappe
QP,Steuerobjekt für Flüssigkeiten in einer offenen Umgebung,Steuerobjekt für offenen Fluss,
QPA,Steuerobjekt für offenen Fluss zum Variieren oder An-/Aus-schalten,Schleusentor,"Dammplatte, Flüssigkeits-durchgang"
QPB,Steuerobjekt für offenen Fluss zum Leiten eines Flusses durch ein festes Mittel,Vortexgenerator,"Stringer, Grenzschichtzaun Trag-flügel, Turbulator, Wirbelerzeuger"
QPC,Steuerobjekt für offenen Fluss zum Leiten eines Flusses durch ein veränderliches Mittel,Ruder,
QQ,Steuerobjekt für einen Raum,Raumzugangsobjekt,
QQA,Raumzugangsobjekt nur für Lichteintritt,Fenster,
QQB,Raumzugangsobjekt für Eintritt von Licht und Personen,Fenstereinheit,
QQC,Raumzugangsobjekt zur Durchquerung durch Personen in aufrechter Position,Tür,
QQD,Raumzugangsobjekt von eingeschränkter Größe zur Durchquerung durch Personen und Güter,Luke,Notluke
QQE,Raumzugangsobjekt von erweiterter Größe zur Übertragung von Objekten,Große Tür,
QQF,"Raumzugangsobjekt, teilweise",Tor,Riegel zum Öffnen
QQG,Raumzugangsobjekt zum Blockieren des Zugangs zu einem Gleis,Vorlegerblock,
QR,Steuerobjekt für feste Substanzen,Variierobjekt für feste Substanzen,
QRA,Variierobjekt für feste Substanzen mit rotierenden Kammern,Luftschleusen-Drehventil,Dosierer
QRB,Variierobjekt für feste Substanzen mit Iris-Öffnung,Irisventil,Dosierer
