Kennbuchstabe,Klassendefinition,Klassenname,Beispiele
XG,Schnittstellenobjekt für elektrische Signale,Elektrisches Signalverbindungsobjekt,
XGA,Elektrisches Signalverbindungsobjekt für einzelne Steckverbindungen,Signaldose,
XGB,Elektrisches Signalverbindungsobjekt für eine einzelne Verbindung,Klemme,
XGC,Elektrisches Signalverbindungsobjekt innerhalb von mehreren Leitungen,Verbindungstafel,
XH,Schnittstellenobjekt für optische Fasern,Lichtverbindungsobjekt,
XHA,Lichtverbindungsobjekt für Steckverbindungen,Feste Lichtfasersteckdose,"optischer Stecker, optische Steckdose"
XK,Schnittstellenobjekt zum Ansammeln und Weiterleiten in einen Durchfluss,Sammelschnittstellenobjekt,
XKA,Sammelschnittstellenobjekt für Abwasser,Waschbecken,Bidet
XKB,Sammelschnittstellenobjekt für Fäkalien und Urin,Toilette,WC
XKC,Sammelschnittstellenobjekt für ausschließlich Urin,Urinal,
XKD,Sammelschnittstellenobjekt für überschüssige Flüssigkeit aus technischen Systemen,Tropfbecher,
XKE,Sammelschnittstellenobjekt für überschüssiges Wasser,Bodenablauf,
XM,Schnittstellenobjekt für Materialfluss in versiegeltem Objekt,Versiegeltes Durchflussverbindungsobjekt,
XMA,Versiegeltes Durchflussverbindungsobjekt in reversibler Form,Rohrflansch,"Kammer, Löschschlauchkupplung, Schlauchkupplung, Schlauchflansch, Schlauchanschlussstück, Rohrflansch"
XMB,Versiegeltes Durchflussverbindungsobjekt in irreversibler Form,Rohranschlussstück,"Klebeverbindung, Schlauchanschlussstück, Druckverbindung, Lötanschlussstück"
XN,Schnittstellenobjekt für kontinuierliche Übertragung von mechanischer Kraft,Fest angeschlossener Koppler,
XNA,Fest angeschlossener Koppler von Schäften mit zwei Flanschen,Flanschverbindung,
XNB,Fest angeschlossener Koppler von Schäften mit geteilter Hülse,Geteilte Muffenkupplung,"Schalenkupplung, Hülsenkupplung"
XNC,"Fest angeschlossener Koppler zwischen parallelen Schäften mit Zähnen und Nuten, die ineinandergreifen",Hirth-Koppler,"Hirth-Kupplung, Hirth-Gelenk"
XND,Fest angeschlossener Koppler zum Übertragen von Leistung von falsch ausgerichteten Schäften,Kardangelenk,"flexible Kupplung, Hardy-Spicer-Gelenk, Hooke-Gelenk, U-Gelenk, Universalkupplung"
XNE,Fest angeschlossener Koppler zum Befestigen und Verbinden von zwei beweglichen Objekten,Puffer-und-Ketten-Kupplung,
XNF,Fest angeschlossener Koppler zum Fixieren von zwei beweglichen Objekten,Linien-und-Bolzenkupplung,
XP,Schnittstellenobjekt für ununterbrochene Übertragung von mechanischer Kraft,Nicht fest angeschlossener Koppler,
XPA,Nicht fest angeschlossener Koppler zur Leistungsübertragung durch Reibungskräfte,Reibungskupplung,"Fliehkraftkupplung, hydraulische Kupplung"
XPB,Nicht fest angeschlossener Koppler zur Leistungsübertragung durch Hydrodynamikeffekt,Flüssigkeitskupplung,
XPC,Nicht fest angeschlossener Koppler zur Leistungsübertragung durch Verriegelungsmittel,Freilaufkupplung,Freilaufschaltung
XPD,Nicht fest angeschlossener Koppler für Lasten unter Verwendung von Magnetkraft,Magnethub,Magnetkopf-Hubvorrichtung
XS,Schnittstellenobjekt zur Verbindung mehrerer Ebenen,Ebenenverbindungsobjekt,
XSA,"Ebenenverbindungsobjekt in Form einer horizontalen Ebene, die mit einem Treppenlauf verbunden ist",Treppenabsatz,Laufsteg
XSB,Ebenenverbindungsobjekt in Form von aufeinanderfolgenden Stufen,Treppenlauf,
XSC,Ebenenverbindungsobjekt in Form von aufeinanderfolgenden Sprossen oder Balken,Leiter,
XSD,Ebenenverbindungsobjekt in Form einer geneigten Ebene,Rampe,
XSE,Ebenenverbindungsobjekt in Form einer vertikalen Stange,Feuerwehr-Rutschstange,
XT,Schnittstellenobjekt zum Verbinden von Räumen,Raumverbindungsobjekt,
XTA,Raumverbindungsobjekt in Form einer Vertiefung,Loch,Öffnung
XTB,Raumverbindungsobjekt in Form eines Hohlraums,Schalung,Hohlraum
XZ,Schnittstellenobjekt mit mehreren Flussarten,Mehrfachfluss-Verbindungsobjekt,
XZA,"Mehrfachfluss-Verbindungsobjekt für elektrische Energie, elektrische Signale, optische Signale und/oder Flüssigkeiten",Mehrfachverbinder,
